id	shopItemId	name	description
1	1	Dog Grooming	Professional grooming service for dogs.
2	2	Cat Grooming	Professional grooming service for cats.
3	3	Dog Training	Professional training service for dogs.
4	4	Cat Training	Professional training service for cats.
5	5	Dog Boarding	Boarding service for dogs.
6	6	Cat Boarding	Boarding service for cats.
7	7	Dog Walking	Dog walking service.
8	8	Pet Sitting	Pet sitting service.
9	9	Pet Taxi	Pet transportation service.
10	10	Veterinary Consultation	Consultation with a licensed veterinarian.
