id	shopItemId	name	description
1	11	Dog Food	High-quality dog food for all breeds.
2	12	Cat Food	High-quality cat food for all breeds.
3	13	Bird Food	High-quality bird food for all species.
4	14	Fish Food	High-quality fish food for all species.
5	15	Dog Toy	Durable dog toy for play and exercise.
6	16	Cat Toy	Durable cat toy for play and exercise.
7	17	Bird Cage	Spacious bird cage for all bird species.
8	18	Fish Tank	Spacious fish tank for all fish species.
9	19	Dog Bed	Comfortable dog bed for all breeds.
10	20	Cat Bed	Comfortable cat bed for all breeds.
11	21	Dog Leash	Durable dog leash for all breeds.
12	22	Cat Collar	Durable cat collar with ID tag.
13	23	Bird Swing	Fun bird swing for all bird species.
14	24	Fish Filter	Efficient fish tank filter for clear water.
15	25	Dog Shampoo	Gentle dog shampoo for all breeds.
16	26	Cat Litter	Natural cat litter for odor control.
17	27	Bird Treat	Healthy bird treat for all species.
18	28	Fish Food Flakes	Nutritious fish food flakes for all species.
19	29	Dog Brush	Durable dog brush for all breeds.
20	30	Cat Brush	Durable cat brush for all breeds.
